Category,SubCategory,Description,Amount,TransactionUtcDate
TransferringMoney,OtherTransferringMoney,ANZ INTERNET BANKING FUNDS TFER TRANSFER 321975 TO 4564699014628985,2000.00,2018-09-12 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ INTERNET BANKING FUNDS TFER TRANSFER 428829 TO CHRIS MCKE,150.00,2018-08-16 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ INTERNET BANKING FUNDS TFER TRANSFER 636074 TO FTB SOLUTI,200.00,2018-09-09 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ INTERNET BANKING FUNDS TFER TRANSFER 636208 TO J D WESTACO,5.50,2018-06-28 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ INTERNET BANKING FUNDS TFER TRANSFER 834547 TO CHRIS MCKE,150.00,2018-09-16 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ INTERNET BANKING FUNDS TFER TRANSFER 936864 TO CHRIS MCKE,150.00,2018-07-16 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 002044 TO 016305248758536,150.00,2018-09-11 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 126294 TO 016305248758536,300.00,2018-07-15 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 150989 TO 016305248758536,200.00,2018-09-02 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 151222 FROM 396460985,1500.00,2018-09-02 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 151222 TO 016002545625772,1500.00,2018-09-02 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 151558 TO 4564680024386129,200.00,2018-09-02 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 152080 TO 4564699014628993,300.00,2018-09-02 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 184712 TO 016305248758536,120.00,2018-08-13 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 357781 FROM 396460985,1500.00,2018-07-04 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 357781 TO 016002545625772,1500.00,2018-07-04 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 370591 TO 4564699014628993,1500.00,2018-07-04 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 418600 TO 4564699014628985,500.00,2018-09-10 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 470920 TO 016305248758536,100.00,2018-07-02 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 471954 TO 4564699014628993,1000.00,2018-08-15 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 526024 TO 4564699014628985,2000.00,2018-07-22 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 540822 TO 4564699014628993,500.00,2018-06-25 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 574310 FROM 396460985,400.00,2018-09-10 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 574310 TO 016002545625772,400.00,2018-09-10 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 575664 TO 016305248758536,300.00,2018-09-10 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 608108 FROM 396460985,200.00,2018-07-10 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 608108 TO 016002545625772,200.00,2018-07-10 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 638691 TO 016305248758536,100.00,2018-07-15 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 653117 TO 016305248758536,100.00,2018-07-29 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 754230 FROM 396460985,1300.00,2018-08-07 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 754230 TO 016002545625772,1300.00,2018-08-07 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 759710 TO 4564699014628993,1000.00,2018-08-07 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 760938 TO 016305248758536,200.00,2018-08-07 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 883146 TO 4564699014628985,500.00,2018-08-16 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 888655 FROM 396460985,100.00,2018-07-18 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 888655 TO 016002545625772,100.00,2018-07-18 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 976063 TO 016305248758536,200.00,2018-07-01 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING FUNDS TFER TRANSFER 976073 TO 4564699014628993,500.00,2018-07-01 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING PAYMENT TRANSFER 155081 TO KELLY E HELLER,55.00,2018-09-02 16:00:00
TransferringMoney,OtherTransferringMoney,ANZ M-BANKING PAYMENT TRANSFER 566012 TO DALE LAWN MOWER MAN,44.00,2018-08-07 16:00:00
TransferringMoney,OtherTransferringMoney,DUONGK HOLDINGS PTY PERTH,11.50,2018-08-30 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT,373.73,2018-09-16 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT THANKYOU 152080,300.00,2018-09-02 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT THANKYOU 321975,2000.00,2018-09-12 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT THANKYOU 370591,1500.00,2018-07-05 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT THANKYOU 418600,500.00,2018-09-10 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT THANKYOU 471954,1000.00,2018-08-15 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT THANKYOU 526024,2000.00,2018-07-22 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT THANKYOU 540822,500.00,2018-06-25 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT THANKYOU 570712,1000.00,2018-06-21 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT THANKYOU 759710,1000.00,2018-08-07 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT THANKYOU 883146,500.00,2018-08-16 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT THANKYOU 976073,500.00,2018-07-01 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO BUDGET DIRECT 115140631036896344,96.83,2018-07-04 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO BUDGET DIRECT 115140631037516292,96.83,2018-08-05 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO BUDGET DIRECT 115140631037549565,79.95,2018-08-06 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO BUDGET DIRECT 115140631038148425,96.83,2018-09-04 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO GOODLIFE MURRAY A002Q53G098R,16.76,2018-09-06 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO GOODLIFE MURRAY A002R0M90PZL,16.76,2018-09-13 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO GOODLIFE MURRAY A002RNPV0LGB,16.76,2018-09-20 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO GOODLIFE MURRAY A006952-020842,16.76,2018-07-26 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO GOODLIFE MURRAY A054526-029322,16.76,2018-08-02 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO GOODLIFE MURRAY A078165-026550,16.76,2018-08-09 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO GOODLIFE MURRAY A104416-004759,16.76,2018-08-16 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO GOODLIFE MURRAY A129177-019906,16.76,2018-08-23 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO GOODLIFE MURRAY A175667-007994,16.76,2018-08-30 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO GOODLIFE MURRAY A861903-025670,16.76,2018-06-21 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO GOODLIFE MURRAY A905781-005976,16.76,2018-06-28 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO GOODLIFE MURRAY A937913-008610,16.76,2018-07-05 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO GOODLIFE MURRAY A959883-025636,16.76,2018-07-12 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO GOODLIFE MURRAY A984871-003554,16.76,2018-07-19 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO MCKELT CHRISTOPHER DAVID,135.63,2018-07-02 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO MCKELT CHRISTOPHER DAVID,140.15,2018-08-02 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO MCKELT CHRISTOPHER DAVID,140.15,2018-09-03 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO MCKELT CHRISTOPHER DAVID,1335.02,2018-07-05 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO MCKELT CHRISTOPHER DAVID,1379.15,2018-08-08 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO MCKELT CHRISTOPHER DAVID,2500.00,2018-07-25 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO MCKELT CHRISTOPHER DAVID,2500.00,2018-08-27 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO MCKELT CHRISTOPHER DAVID,3000.00,2018-06-25 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO VODAFONE T3 1024C9 17,40.00,2018-07-04 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO VODAFONE T3 10783F D,40.00,2018-08-01 16:00:00
TransferringMoney,OtherTransferringMoney,PAYMENT TO VODAFONE T3 10D836 4,40.00,2018-09-03 16:00:00
TransferringMoney,OtherTransferringMoney,TRANSFER FROM CHRIS MCKELT ANZ CHRIS MCKELT ANZ,150.00,2018-08-19 16:00:00
TransferringMoney,OtherTransferringMoney,TRANSFER FROM CHRIS MCKELT ANZ CHRIS MCKELT ANZ,500.00,2018-07-22 16:00:00
TransferringMoney,OtherTransferringMoney,TRANSFER FROM CHRIS MCKELT MISS TRACY NICOL,55.00,2018-09-03 16:00:00
TransferringMoney,OtherTransferringMoney,TRANSFER FROM SUBIACO-REBA PRO ABEL PROPERTY PYMT,27.20,2018-07-31 16:00:00
Transport,Fuel,CALTEX STAR MART DOU SCARBOROUGH,7.99,2018-07-31 16:00:00
Transport,Fuel,CALTEX STAR MART DOU SCARBOROUGH,37.41,2018-08-26 16:00:00
Transport,Fuel,CALTEX STAR MART DOU SCARBOROUGH,104.04,2018-09-02 16:00:00
Transport,Fuel,CALTEX STAR MART DOU SCARBOROUGH,109.62,2018-07-22 16:00:00
Transport,Fuel,CALTEX STAR MART DOU SCARBOROUGH,126.13,2018-06-28 16:00:00
Transport,Fuel,NON-ANZ ATM BP EXPRESS WEMBLEY* WEMBLEY INCLUDES ATM OPERATOR CHARGE $2.50,202.50,2018-07-15 16:00:00
Transport,ParkingTolls,AEG OGDEN PERTH ARENA PERTH,15.00,2018-06-21 16:00:00
Transport,ParkingTolls,AEG OGDEN PERTH ARENA PERTH,15.00,2018-07-15 16:00:00
Transport,ParkingTolls,AEG OGDEN PERTH ARENA PERTH,15.00,2018-07-22 16:00:00
Transport,ParkingTolls,AEG OGDEN PERTH ARENA PERTH,15.00,2018-08-02 16:00:00
Transport,ParkingTolls,AEG OGDEN PERTH ARENA PERTH,15.00,2018-08-09 16:00:00
Transport,ParkingTolls,AEG OGDEN PERTH ARENA PERTH,15.00,2018-08-12 16:00:00
Transport,ParkingTolls,AEG OGDEN PERTH ARENA PERTH,15.00,2018-08-19 16:00:00
Transport,ParkingTolls,AEG OGDEN PERTH ARENA PERTH,15.00,2018-08-26 16:00:00
Transport,ParkingTolls,AEG OGDEN PERTH ARENA PERTH,15.00,2018-08-30 16:00:00
Transport,ParkingTolls,AEG OGDEN PERTH ARENA PERTH,15.00,2018-09-02 16:00:00
Transport,ParkingTolls,AEG OGDEN PERTH ARENA PERTH,15.00,2018-09-05 16:00:00
Transport,ParkingTolls,AEG OGDEN PERTH ARENA PERTH,15.00,2018-09-09 16:00:00
Transport,ParkingTolls,AEG OGDEN PERTH ARENA PERTH,15.00,2018-09-12 16:00:00
Transport,ParkingTolls,AEG OGDEN PERTH ARENA PERTH,15.00,2018-09-20 16:00:00
Transport,ParkingTolls,WILSON PARKING AUSTRAL NEDLANDS,3.30,2018-06-21 16:00:00
Transport,PublicTransport,PUBLIC TRANSPORT AUT EAST PERTH,20.00,2018-06-27 16:00:00
Transport,PublicTransport,PUBLIC TRANSPORT AUT EAST PERTH,20.00,2018-07-03 16:00:00
